,tweet
363,I know the Yellows will spread their usual antiChinese lies but the Chinese Embassy complained to me in the strongest terms about the risks attendant to unofficial vaccinations and the baseless rumors of wide (really small) availability that invite fake—i.e. dextrose—vaccines. https://t.co/9yxK9FWtfV
364,"@Zooboo44 @FrammeryChloe Il ne faut pas voir des fakes news partout même si ça existe.
Le plus grave c'est que ce n'est pas le seul témoignage d'effets secondaires suite à ces nouveaux vaccins ARN, il en sort de + en + hélas.
Il y a même eut quelques morts déjà et ce n'est que le début des vaccinations !"
365,"@vanguardngrnews Yes unity is excellent but no one is capable of forcing covid 19 vaccinations on us, Covid 19 is fake viruses, if you want to help Nigerians give them food not a deadly vaccine! We are not interested and we will never allow it!!!"
366,"@TheunisdeJong @SamoraTshawe @LeanneManas CJ is no against vaccinations, he was praying against fake vaccines 
👇👇👇
https://t.co/JWPOJdSFTY"
367,"Pour vendre leur vaccin Covid, ils sont prêts à tout chez @BFMTV, même à inventer des vaccinations obligatoires... imaginaires avec des vaccins... qui n’existent pas.

Ça commence à faire beaucoup de fake news pour une seule chaîne. Au @csaudiovisuel ils sont comme ça : 🙈🙉🙊 https://t.co/kr43D9xZlB"
368,"War propaganda from a fake ""poll"" in the NY$times: ""In the US where vaccinations began two weeks ago, new surveys show that the portion of people saying they are likely or certain to take the vaccine has grown to more than 60 percent from about 50 percent this summer. . .""false"
369,@gumpcd0315 @NYGovCuomo Vaccinations for a fake virus? Crazy guy ain’t ya 🥴
370,@dad_liams No never had one (except polio sugar cube when small) and never will take this one either - the fake vaccinations say it all.
371,"[Απάτη Κορονοϊού / COVID-19 Hoax] ΗΠΑ: Σικέ Εμβολιασμοί - Ο Φάουτσι ""Εμβολιάστηκε"" Στον Αριστερό Βραχίονα, Αλλά Αισθάνεται Τον Πόνο Στον Δεξιό Βραχίονά Του ~ USA: Fake Vaccinations - Fauci “Vaccinated” In His Left Arm But Feels Pain In His Right Arm...! https://t.co/o87uGcwsNo"
372,"Seniors are dropping like flies
No vaccinations over the holiday
Fake Universities being sanctioned for religious bigots
Prime real estate being handed to developers to destroy our ecosystem 
Almost $1 Billion wasted on lawsuits
But, sitting at 46% in the polls, unbelievable!"
373,"Bill Gates said nothing will get to normal until he vaccinate the entite global population with the covid-19 vaccines.

To achieve this end, he has forced lockdowns, devastated economies and livelihoods of the masses.

Spread enough fake news abt 2nd wave to force vaccinations 👇🏿 https://t.co/gMLIIKXgrJ"
374,"@tomhfh @dominiquetaegon Teachers already have a job, Tom. Why not yrain all the Tufton Street ""think-tankers"" and fake Guido ""journalists"" to give vaccinations?

At least then they would be able to say they have dome one thing useful in their lives."
375,"@EugenieGrandet9 @herecomeslucylu @davidkurten The deaths from these alone are in the millions worldwide before vaccinations were invented. 

https://t.co/lo56T340r9"
376,"Think the 'pause vaccinations for holidays, weekends' is fake news? It's not. @fordnation @celliottability @PublicHealthON , are we in a #pandemic or not? The #CovidVaccine is here &amp; thousands are ready to help, work extra or come out of retirement to help!  #COVID19Ontario https://t.co/Tfln2nAl2v"
377,@johntown1 @CodeMonkeyZ @mjeannd @Mike_Pence Think of the obvious fake vaccinations on TV. Perhaps all the clones including Pence and Biden will “suffer fatal vaccine reactions” before January 6th. An opportunity for Trump to nominate a new trustworthy VP to challenge the “result”. Also kill off Big Pharma for a while.
378,"This is not fake news, vaccinations in Hyde Car Park. Names provided. 

These people are elderly, trust Health Professionals, and believe this will help the return to normal, and enable them to see their family again. 

https://t.co/qTrK7SXBJZ https://t.co/4XHOE2Pvts"
379,"@TraducReinfo @VSainement Après les fakes news, les fakes vaccinations....plus rien n’est vraiment vrai dans ce monde..."
380,"Pelosi, Pence did not fake Covid-19 vaccinations using capped needlesampvideo_youtubeAFP Factcheckbookmark_bordersharemore_vert,https://t.co/6uZL35twib"
381,@Colin_H_Turner Why can't we see the needle. Or the fact the lid is still on. I have watched enough people faking the vaccinations it actually hurts the brain. Why not fake it better? Do they think we are that dumb.
382,"#GreatAwakeningWorldwide   Pelosi, Pence did not fake #Covid19 #vaccinations  using capped needles - Yes they did you lying bastards!  #DeepState desperate to keep this bullshit going!  So called #FactCheck  = #Professional #Liars  https://t.co/8lGM9Hz3gs"
383,@CCM1956 Fake vaccinations cards... Finally a good idea
384,@TraducReinfo Bin rien ne lui ai injecté tout simplement. Tout comme les autres fake vaccinations de personalités devant les caméras
385,"@ultra_petita @EmeEme65759483 @facileogains @DIVIZIO1 Leur antibio tueur leur a rapporté aussi avant d’être retiré 
Ceux qui se filment en train de se faire vacciner son fake! Ça ne vous choque pas un peu vous des mises en scènes de vaccinations fausses? 
Oui, qu’ils posent leurs arguments et passent au shoot sous huissiers"
386,"After the Fake Voting is over we should push forward with Vaccinations and stop the wild spending going on in the House of Representatives. Cool the printing presses, and subtract some zeros from the block chains or China wins."
387,@i_neverhave there's plenty of fake news out there - why say something so nasty ? are you a believer in covid vaccinations or something ? are you a doctor ?
388,@DanStevens1103 All I see her in NJ is lemmings wearing masks and a governor Murphy that is a scam artist killing people with this fake pandemic working for the drug industry for their game of vaccinations they want all people to take.  Only fools will do so.
389,@josephkrengel @TABYTCHI Pandemic not dancedemic.  How real is it?  Even the pics from an Italian hospital were fake.  Fake vaccinations caught on camera.  Fake studies.  Fake fake.
390,"@THEjoevols @MollyJongFast @marcorubio He's a liar. He's been screaming about the fake virus and fake numbers and how we just need to open everything up so people can make more money for months, and then he shoves himself to the front of the line when vaccinations become available. He's a lying hypocrite."
391,"I overheard a convo between 2 men. One of the men showed a video of a fake vax administration, explaining the needle didn't go into the skin. 

The friend says ""I don't see anything wrong, what's wrong with that? They aren't allowed to show real live vaccinations on TV!! 🤦🏽‍♀️"
392,"@nzherald Maaaayybeee its cause all the hospital staff are doing fucking tik toks all day.

How many more fake vaccinations do we need to see with no needle, retractable needle, missed the arm, shot through a rolled down sleeve.  Yawn.

We the people aren't buying what is being sold."
393,Republican politicians saying COVID is a hoax and the deaths are fake news but then turning around and getting their vaccinations is the exact reason why American politics is peak politics.
394,"@MaryKayCabot NFL SHOULD STAND UP TO WORLD POWER &amp; STOP COVERING FOR A FAKE PLANDEMIC
THE ONLY VIRUS IS FEAR
SCARING YOU TO TAKE THEIR LONG PLANNED MRNA DNA EDITING VACCINATIONS
DEPOPULATION  PLANNED AGENDA 21 AGENDA 2030
#TheGreatReset #WEF"
395,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/IVCIKfFn6F"
396,"@ThroneburgAmy @vampyanji I don’t worry too much about dancing medical workers . I care more about a stolen elections,fake president elects and Vaccinations pushed for a defeated virus. Just my opinion and not bashing yours ."
397,"@BeNosey @Jen70717630 No gloves or alcohol wipes are usually used in vaccinations any more, haven't for quite a few years.  Doesn't mean this is not fake but that is how they vaccinate in flu clinics."
398,All the fake vaccinations on TV make sense now.   Some people will have an allergic reaction or worse to the Vax.   Please do your homework if your thinking about taking it https://t.co/GwsRRzlzfX
399,"@AndyBird92300 @davidmcw Hi Little Englander Andy. No you’re wrong. EU countries are getting the same amount of vaccinations based on prorata of population. I understand people like yourself have a difficulty understanding anything to do with the EU, but try not to make up fake news, it’s embarrassing"
400,What's with all the fake vaccinations!?
401,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/UnxbFjMEc0 https://t.co/qULTVmYHD3"
402,If this Rona Thang was a REAL Pandemic - There would be NO NEED for Troll &amp; Bot Battalions - FAKE News - BAD Medical Advice - FAKE Public Vaccinations - FRAUDULENT PCR Tests &amp; PHONY Diagnoses - When was #WEF elected to run the World? When did we ALL AGREE to BECOME Eugenicists?
403,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media — Forbes https://t.co/ucFhwcdIqK"
404,Vaccinations cause lizard-morphing! Don’t vaccinate! Nuclear power is making dolphins violent! The New York Times is a conspiracy of lies--just fake news pies!
405,"Sheeple everything from masks to pcr to vaccinations is sham so do your research, use some common sense and live your life with loved ones than trusting the ones selling this fear n fake disease n cure"
406,"@CrusherDane @LBC @AndrewCastle63 Health cover has been granted as part of the deal, pets only require a declaration of microchip and vaccinations from the vet, covid vaccination certificates is pure FAKE NEWS.........project fear is alive and well I see😂🚵‍♀️"
407,@MathewJustin5 @newscomauHQ Fake pandemic lmaoo. Your probably the guy to think vaccinations give you autism 😄😄🖕
408,"@klylbgt je dis pas que faut y aller les yeux fermés mais toute la désinformation et les fake news sur ce réseau c’est fatiguant, y a des gens qui préfèrent gueuler que d’attendre les résultats des 1ères vaccinations"
409,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/3I566KXZUh"
410,"Pelosi, Pence did not fake Covid-19 vaccinations using capped needlesampvideo_youtubeAFP Factcheckbookmark_bordersharemore_vert,https://t.co/6uZL35twib"
411,@VauneAnalogies @HansMahncke It's HIGHLY unlikely she got the real thing if anything at all. Fake vaccinations seem to be en vogue right now...lol
412,"@NattyAnne09 Suicide hotlines are overwhelmed. Foreclosures on small to medium sized businesses. Unemployment sky rocketing. Possible forced vaccinations for fake pandemic. Theft/robberies climbing. Bills piling up. Medical treatments, appointments &amp; surgeries delayed. The NWO is very evil!😡"
413,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/OSoWRxTbY0 #health #mhealth"
414,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media - Forbes https://t.co/t28AgvYT3W"
415,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/9wUempuFvl https://t.co/rfQZHeV3BI"
416,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/Tre7A5wWzo https://t.co/OjvVoaJNH3"
